Date,Open,High,Low,Close,Volume
2024-01-01,1443.02,1448.86,1433.13,1438.97,2112611
2024-01-02,1452.08,1452.79,1440.32,1441.03,4784802
2024-01-03,1430.71,1432.43,1426.63,1428.35,4568685
2024-01-04,1424.98,1428.5,1424.88,1428.41,3141406
2024-01-05,1455.52,1463.95,1444.31,1452.74,1030739
2024-01-08,1455.57,1463.8,1435.66,1443.89,4547983
2024-01-09,1414.19,1423.91,1400.63,1410.34,3386763
2024-01-10,1386.91,1392.42,1375.96,1381.47,1135339
2024-01-11,1351.39,1360.53,1351.27,1360.4,4280495
2024-01-12,1380.04,1386.82,1371.05,1377.83,2294559
2024-01-15,1367.31,1370.67,1365.47,1368.83,4040966
2024-01-16,1382.33,1387.89,1380.68,1386.25,1677585
2024-01-17,1401.82,1405.11,1398.67,1401.95,544722
2024-01-18,1430.98,1436.73,1424.59,1430.33,2542259
2024-01-19,1440.05,1448.05,1435.81,1443.8,2534924
2024-01-22,1445.9,1446.2,1444.46,1444.76,4386458
2024-01-23,1485.73,1491.0,1481.53,1486.8,1019060
2024-01-24,1462.52,1468.87,1451.9,1458.26,4608759
2024-01-25,1482.53,1487.59,1476.07,1481.13,1187712
2024-01-26,1490.03,1494.69,1483.05,1487.71,4705199
2024-01-29,1499.39,1505.48,1487.21,1493.3,3678294
2024-01-30,1455.68,1468.67,1439.35,1452.33,2119807
2024-01-31,1448.32,1452.86,1443.81,1448.35,4804607
2024-02-01,1422.05,1439.48,1417.07,1434.5,2116105
2024-02-02,1442.44,1442.52,1439.3,1439.37,3353438
2024-02-05,1453.23,1462.01,1449.99,1458.76,572838
2024-02-06,1476.99,1477.86,1476.65,1477.52,960696
2024-02-07,1501.2,1501.34,1498.74,1498.88,2090137
2024-02-08,1522.6,1526.51,1510.29,1514.2,1597984
2024-02-09,1500.01,1509.98,1478.63,1488.61,1523390
2024-02-12,1476.2,1482.5,1475.57,1481.87,2204934
2024-02-13,1493.66,1502.65,1492.89,1501.88,3238777
2024-02-14,1504.63,1513.16,1494.07,1502.6,1064108
2024-02-15,1531.12,1539.89,1520.81,1529.58,3884314
2024-02-16,1554.29,1564.46,1551.92,1562.09,4315856
2024-02-19,1589.33,1589.5,1589.28,1589.44,4260682
2024-02-20,1618.83,1618.91,1614.73,1614.81,1375273
2024-02-21,1673.87,1686.36,1669.97,1682.47,4462274
2024-02-22,1681.07,1692.24,1676.88,1688.05,1082979
2024-02-23,1685.86,1693.16,1683.08,1690.39,981362
2024-02-26,1697.93,1701.54,1695.82,1699.43,3765581
2024-02-27,1697.29,1706.05,1683.65,1692.41,3921857
2024-02-28,1712.95,1731.11,1697.11,1715.27,1070745
2024-02-29,1771.05,1775.63,1766.05,1770.64,2370499
2024-03-01,1741.24,1742.03,1724.33,1725.12,2346437
2024-03-04,1776.43,1787.42,1772.53,1783.52,3752045
2024-03-05,1802.71,1816.52,1793.8,1807.61,2819787
2024-03-06,1811.16,1816.83,1800.4,1806.07,3203434
2024-03-07,1827.12,1834.26,1812.5,1819.64,861031
2024-03-08,1812.28,1821.71,1799.72,1809.16,4896072
2024-03-11,1814.4,1815.35,1799.9,1800.85,3001046
2024-03-12,1823.34,1825.17,1819.1,1820.93,3508780
2024-03-13,1815.29,1830.68,1814.94,1830.33,2660738
2024-03-14,1845.13,1852.71,1836.8,1844.38,1608317
2024-03-15,1860.74,1868.55,1857.35,1865.16,3507873
2024-03-18,1890.51,1902.9,1867.3,1879.69,1797832
2024-03-19,1907.13,1914.81,1891.84,1899.52,1486156
2024-03-20,1851.97,1865.76,1850.5,1864.29,2985825
2024-03-21,1879.9,1886.55,1862.75,1869.41,2104831
2024-03-22,1937.69,1940.07,1927.77,1930.15,4524795
2024-03-25,1952.85,1966.55,1941.79,1955.49,3468449
2024-03-26,2012.96,2017.22,2009.36,2013.62,2180461
2024-03-27,2005.55,2006.51,1993.04,1994.01,660184
2024-03-28,1967.98,1992.44,1959.79,1984.25,2034701
2024-03-29,1966.81,1967.85,1962.15,1963.18,1021077
2024-04-01,2027.23,2027.25,2018.03,2018.05,1486370
2024-04-02,2028.92,2035.04,2023.56,2029.67,1775983
2024-04-03,2027.53,2032.88,2016.73,2022.08,3436341
2024-04-04,2068.41,2074.27,2061.66,2067.52,978603
2024-04-05,2091.08,2101.95,2087.05,2097.92,1229058
2024-04-08,2097.5,2116.8,2085.27,2104.57,677806
2024-04-09,2121.53,2127.06,2109.74,2115.27,4626745
2024-04-10,2108.58,2130.4,2092.34,2114.17,4943220
2024-04-11,2078.58,2096.67,2073.75,2091.84,1841691
2024-04-12,2087.09,2091.59,2081.52,2086.02,2550919
2024-04-15,2151.98,2162.67,2145.89,2156.58,1855286
2024-04-16,2142.77,2166.83,2129.45,2153.51,2901578
2024-04-17,2187.3,2198.55,2175.39,2186.64,2980310
2024-04-18,2211.7,2221.65,2194.72,2204.67,1647072
2024-04-19,2205.58,2212.92,2198.05,2205.39,3402048
2024-04-22,2183.58,2195.73,2181.16,2193.31,534592
2024-04-23,2252.1,2253.91,2245.78,2247.6,3399744
2024-04-24,2261.79,2278.39,2235.49,2252.09,3878258
2024-04-25,2314.32,2329.0,2278.54,2293.22,738207
2024-04-26,2371.98,2375.55,2354.27,2357.84,3756888
2024-04-29,2351.68,2375.93,2337.3,2361.55,3818762
2024-04-30,2367.49,2370.86,2355.7,2359.07,4876433
2024-05-01,2415.06,2422.22,2405.32,2412.48,4127720
2024-05-02,2396.38,2413.73,2390.56,2407.91,594959
2024-05-03,2435.19,2436.04,2431.48,2432.32,867829
2024-05-06,2397.46,2408.04,2367.91,2378.49,1116593
2024-05-07,2376.42,2379.35,2361.72,2364.66,3117734
2024-05-08,2331.1,2345.91,2326.16,2340.96,3704634
2024-05-09,2319.3,2333.02,2305.45,2319.17,3461184
2024-05-10,2285.25,2292.38,2273.46,2280.59,1985331
2024-05-13,2235.97,2264.03,2224.1,2252.16,1403840
2024-05-14,2220.81,2241.31,2216.07,2236.57,786979
2024-05-15,2183.55,2185.04,2180.66,2182.15,2183022
2024-05-16,2150.69,2151.14,2148.75,2149.19,1854311
2024-05-17,2143.78,2161.45,2142.63,2160.3,1866641
2024-05-20,2191.27,2194.2,2184.8,2187.74,894726
2024-05-21,2178.07,2181.17,2165.19,2168.28,1810462
2024-05-22,2160.33,2166.74,2155.87,2162.29,4269225
2024-05-23,2141.62,2147.28,2135.43,2141.09,1583785
2024-05-24,2156.83,2157.36,2151.19,2151.72,4446199
2024-05-27,2140.92,2142.6,2135.33,2137.02,889145
2024-05-28,2143.82,2177.29,2125.33,2158.8,3366004
2024-05-29,2150.85,2162.42,2147.4,2158.97,985329
2024-05-30,2230.44,2236.8,2227.74,2234.11,2235187
2024-05-31,2205.13,2217.34,2200.84,2213.05,4791898
2024-06-03,2249.38,2262.4,2222.72,2235.74,3959551
2024-06-04,2254.85,2262.44,2241.34,2248.92,2811341
2024-06-05,2200.84,2223.36,2188.52,2211.04,3342156
2024-06-06,2172.5,2175.77,2171.17,2174.44,3471715
2024-06-07,2142.49,2164.66,2110.29,2132.47,4063918
2024-06-10,2166.39,2175.5,2163.12,2172.23,3168070
2024-06-11,2144.08,2154.99,2125.6,2136.51,2799083
2024-06-12,2138.77,2140.51,2124.8,2126.54,840785
2024-06-13,2139.07,2150.89,2116.48,2128.31,4812552
2024-06-14,2090.18,2090.88,2087.9,2088.61,3047645
2024-06-17,2118.58,2119.1,2107.09,2107.61,1805151
2024-06-18,2076.66,2087.4,2070.44,2081.18,1106857
2024-06-19,2131.52,2134.54,2106.69,2109.71,3218832
2024-06-20,2096.12,2097.95,2092.18,2094.02,4021048
2024-06-21,2111.19,2119.44,2092.92,2101.17,4136236
2024-06-24,2071.15,2089.18,2056.24,2074.27,4486559
2024-06-25,2085.22,2095.8,2070.32,2080.9,4522427
2024-06-26,2037.34,2038.77,2031.31,2032.74,3303561
2024-06-27,2009.91,2021.73,2005.88,2017.7,4760367
2024-06-28,2034.55,2042.81,2034.44,2042.69,833639
2024-07-01,2058.56,2071.06,2047.82,2060.32,2277549
2024-07-02,2024.44,2032.8,2006.81,2015.18,2677240
2024-07-03,1982.34,2001.88,1978.0,1997.55,3647042
2024-07-04,1952.51,1961.81,1946.17,1955.46,1846201
2024-07-05,1948.24,1964.93,1920.99,1937.69,1805887
2024-07-08,1932.46,1945.54,1929.34,1942.41,4564764
2024-07-09,1931.68,1938.65,1914.69,1921.66,3422206
2024-07-10,1903.07,1917.05,1898.05,1912.03,3357746
2024-07-11,1923.2,1932.17,1921.58,1930.55,1329018
2024-07-12,1891.08,1894.21,1889.12,1892.24,2751510
2024-07-15,1912.23,1912.64,1897.04,1897.45,2396530
2024-07-16,1892.01,1906.04,1883.03,1897.06,3292288
2024-07-17,1916.38,1936.91,1909.75,1930.29,4641066
2024-07-18,1907.42,1920.68,1905.35,1918.6,1753048
2024-07-19,1901.26,1910.27,1884.91,1893.92,4149078
2024-07-22,1860.4,1876.49,1854.85,1870.94,3351468
2024-07-23,1918.55,1920.99,1906.68,1909.12,2734277
2024-07-24,1931.84,1943.48,1919.64,1931.28,4775287
2024-07-25,1875.54,1880.15,1871.18,1875.79,1160803
2024-07-26,1886.55,1887.34,1883.43,1884.22,3552462
2024-07-29,1829.88,1839.4,1826.48,1836.0,2293572
2024-07-30,1839.82,1842.88,1835.71,1838.77,3569061
2024-07-31,1831.25,1844.77,1826.86,1840.38,1124055
2024-08-01,1840.04,1858.31,1811.51,1829.78,3813329
2024-08-02,1815.7,1832.22,1806.98,1823.49,808374
2024-08-05,1859.34,1871.97,1843.33,1855.96,2069829
2024-08-06,1835.14,1845.83,1832.38,1843.07,4579301
2024-08-07,1810.79,1816.83,1808.78,1814.82,3347145
2024-08-08,1828.17,1835.4,1823.79,1831.02,2711441
2024-08-09,1818.57,1825.55,1789.34,1796.31,1989593
2024-08-12,1788.66,1792.72,1784.71,1788.77,902249
2024-08-13,1829.28,1845.05,1819.78,1835.55,1000104
2024-08-14,1804.19,1812.06,1799.67,1807.53,3725008
