Date,Open,High,Low,Close,Volume
2024-01-01,594.78,596.27,592.59,594.08,1598401
2024-01-02,593.52,602.72,589.79,598.99,4850319
2024-01-03,602.18,606.22,599.52,603.56,3940642
2024-01-04,608.93,612.73,602.37,606.17,568186
2024-01-05,630.86,635.47,618.45,623.06,2435932
2024-01-08,622.56,626.02,619.72,623.18,4180778
2024-01-09,604.05,611.58,599.66,607.2,3542674
2024-01-10,591.39,593.32,590.72,592.65,4570942
2024-01-11,585.82,588.46,583.02,585.66,3271710
2024-01-12,585.96,591.72,581.83,587.59,3712050
2024-01-15,592.33,594.72,592.23,594.62,2018270
2024-01-16,594.61,595.71,594.56,595.66,4157765
2024-01-17,599.07,603.72,593.44,598.08,2900881
2024-01-18,611.06,613.31,609.25,611.5,4100328
2024-01-19,612.04,614.48,611.85,614.29,1419714
2024-01-22,608.47,611.07,607.56,610.17,1707071
2024-01-23,611.13,613.02,610.29,612.19,895235
2024-01-24,598.32,603.76,595.37,600.81,3537667
2024-01-25,598.29,605.41,592.93,600.05,3798609
2024-01-26,599.26,600.04,596.88,597.66,1776585
2024-01-29,593.78,597.62,590.51,594.35,2228579
2024-01-30,578.29,583.1,577.72,582.54,3062534
2024-01-31,582.37,582.84,579.43,579.9,3900709
2024-02-01,581.2,581.33,580.07,580.19,1863235
2024-02-02,576.66,581.47,575.19,580.0,2697516
2024-02-05,587.88,594.19,582.46,588.77,1334770
2024-02-06,595.42,601.65,591.17,597.39,4144052
2024-02-07,597.3,598.56,594.37,595.63,4430320
2024-02-08,595.12,599.86,591.3,596.04,3828239
2024-02-09,594.17,595.64,592.88,594.35,4169675
2024-02-12,600.09,602.53,598.12,600.56,3938589
2024-02-13,603.9,609.24,602.31,607.64,4260674
2024-02-14,611.37,614.5,604.69,607.82,2431991
2024-02-15,611.28,616.13,604.75,609.6,1424731
2024-02-16,611.94,614.7,611.09,613.85,4825306
2024-02-19,616.33,620.8,611.36,615.83,510636
2024-02-20,621.32,623.12,617.01,618.81,2323645
2024-02-21,645.29,651.16,639.28,645.14,3768182
2024-02-22,658.25,662.1,650.17,654.02,4069146
2024-02-23,658.41,659.75,649.17,650.52,3584999
2024-02-26,656.54,663.75,649.67,656.89,2703149
2024-02-27,661.54,666.87,657.81,663.14,4651001
2024-02-28,662.6,667.79,660.15,665.34,1557885
2024-02-29,671.61,677.95,671.51,677.85,1139347
2024-03-01,663.51,664.55,659.05,660.09,3330112
2024-03-04,686.37,689.71,684.05,687.38,1942136
2024-03-05,713.61,719.52,705.12,711.03,2610992
2024-03-06,721.06,723.13,715.78,717.85,2556085
2024-03-07,728.34,732.49,727.48,731.63,1688314
2024-03-08,733.55,741.06,728.89,736.4,4993045
2024-03-11,734.33,734.42,728.95,729.04,2221392
2024-03-12,734.96,736.95,733.18,735.17,3516828
2024-03-13,739.82,742.47,739.2,741.86,1219718
2024-03-14,749.83,753.47,749.47,753.1,4959944
2024-03-15,758.23,758.8,758.11,758.68,4941704
2024-03-18,772.72,774.98,765.65,767.91,811016
2024-03-19,776.11,776.29,773.73,773.91,3394326
2024-03-20,770.01,772.36,767.08,769.43,3175744
2024-03-21,775.23,778.54,766.83,770.15,1280951
2024-03-22,792.56,795.15,785.39,787.98,3962456
2024-03-25,778.09,780.27,774.83,777.01,3940647
2024-03-26,796.52,798.61,785.35,787.43,4298556
2024-03-27,778.88,781.19,777.37,779.68,3208453
2024-03-28,785.24,787.54,779.36,781.67,3682466
2024-03-29,771.95,774.7,770.46,773.21,3751480
2024-04-01,798.22,800.46,792.98,795.23,3953346
2024-04-02,821.43,826.99,816.73,822.28,3130188
2024-04-03,822.62,828.8,814.86,821.05,3850993
2024-04-04,844.72,850.42,830.7,836.41,772102
2024-04-05,856.53,860.66,849.02,853.15,3279547
2024-04-08,858.89,859.6,856.48,857.19,1414578
2024-04-09,848.54,852.14,847.69,851.29,2331612
2024-04-10,872.87,874.28,870.77,872.18,3959349
2024-04-11,866.28,872.25,863.97,869.93,1012123
2024-04-12,866.86,867.5,863.04,863.67,3894576
2024-04-15,887.89,893.32,879.3,884.72,1667956
