Date,Open,High,Low,Close,Volume
2024-01-01,1840.98,1851.78,1834.5,1845.29,950567
2024-01-02,1832.85,1838.68,1820.35,1826.18,4866512
2024-01-03,1787.01,1798.24,1784.69,1795.92,4216980
2024-01-04,1750.64,1775.48,1736.45,1761.29,4526173
2024-01-05,1782.58,1786.53,1760.84,1764.79,1849200
2024-01-08,1723.75,1740.48,1715.47,1732.2,1922726
2024-01-09,1787.29,1806.91,1757.28,1776.9,1955471
2024-01-10,1792.94,1793.72,1791.08,1791.86,639909
2024-01-11,1778.0,1785.55,1774.27,1781.82,1263670
2024-01-12,1730.46,1732.83,1728.49,1730.86,1887371
2024-01-15,1715.3,1735.23,1706.83,1726.76,4943174
2024-01-16,1775.84,1779.28,1772.53,1775.97,1421248
2024-01-17,1677.98,1687.72,1677.56,1687.3,2785163
2024-01-18,1682.47,1696.03,1672.31,1685.87,2962633
2024-01-19,1697.23,1716.87,1669.61,1689.26,2119117
2024-01-22,1655.32,1660.29,1648.2,1653.17,4634349
2024-01-23,1661.04,1676.55,1658.19,1673.69,919519
2024-01-24,1617.79,1625.29,1603.29,1610.79,4416518
2024-01-25,1610.12,1612.95,1607.36,1610.18,3846757
2024-01-26,1652.38,1667.34,1642.0,1656.96,1876231
2024-01-29,1716.22,1725.29,1700.65,1709.71,3954756
2024-01-30,1716.22,1718.87,1715.04,1717.69,2428688
2024-01-31,1691.63,1709.36,1684.03,1701.76,4867967
2024-02-01,1697.19,1704.64,1673.89,1681.34,664439
2024-02-02,1673.16,1674.05,1672.41,1673.3,633842
2024-02-05,1659.16,1665.72,1653.29,1659.85,2948735
2024-02-06,1642.26,1650.99,1636.93,1645.66,4691574
2024-02-07,1670.06,1677.16,1652.97,1660.07,785155
2024-02-08,1739.8,1744.85,1739.42,1744.47,4000652
2024-02-09,1740.12,1763.31,1730.75,1753.94,4723727
2024-02-12,1729.63,1750.56,1714.71,1735.64,2688686
2024-02-13,1691.09,1698.22,1672.59,1679.72,4401202
2024-02-14,1703.55,1708.29,1691.62,1696.35,3906233
2024-02-15,1671.83,1676.83,1669.01,1674.01,1463844
2024-02-16,1699.54,1710.21,1677.04,1687.71,4343806
2024-02-19,1701.18,1712.5,1683.39,1694.71,3647159
2024-02-20,1743.5,1746.28,1743.1,1745.88,556604
2024-02-21,1720.19,1723.15,1718.69,1721.65,3056091
2024-02-22,1695.98,1699.26,1689.86,1693.14,3444692
2024-02-23,1673.92,1691.69,1663.29,1681.06,4106109
2024-02-26,1657.81,1669.06,1646.53,1657.77,3970756
2024-02-27,1687.69,1692.59,1680.14,1685.04,2640434
2024-02-28,1641.45,1664.42,1632.74,1655.71,1845447
2024-02-29,1681.45,1684.68,1679.85,1683.08,1362973
2024-03-01,1633.12,1636.79,1631.97,1635.65,900521
2024-03-04,1608.42,1611.84,1596.62,1600.03,3379295
2024-03-05,1581.98,1599.82,1579.17,1597.01,4818965
2024-03-06,1631.66,1639.7,1626.8,1634.84,861261
