Date,Open,High,Low,Close,Volume
2024-01-01,3328.86,3333.72,3324.67,3329.53,2162039
2024-01-02,3343.89,3359.57,3332.39,3348.08,3526503
2024-01-03,3256.15,3264.18,3245.28,3253.31,500212
2024-01-04,3209.25,3222.47,3204.12,3217.33,2550557
2024-01-05,3268.25,3279.7,3267.26,3278.71,2953189
2024-01-08,3291.41,3304.88,3271.14,3284.6,4913497
2024-01-09,3239.42,3244.47,3224.21,3229.27,3469091
2024-01-10,3226.2,3240.18,3206.92,3220.9,1311697
2024-01-11,3179.13,3186.56,3177.57,3184.99,1362842
2024-01-12,3189.67,3204.58,3181.46,3196.38,1921906
2024-01-15,3155.02,3168.76,3147.39,3161.13,2303692
2024-01-16,3148.57,3152.56,3136.65,3140.64,988912
2024-01-17,3109.98,3128.62,3098.64,3117.28,4052530
2024-01-18,3144.78,3155.02,3126.68,3136.92,804930
2024-01-19,3161.36,3174.35,3142.68,3155.67,800072
2024-01-22,3196.68,3198.05,3184.13,3185.5,1072586
2024-01-23,3198.43,3214.1,3173.15,3188.82,1106900
2024-01-24,3243.42,3251.08,3230.79,3238.44,3038135
2024-01-25,3190.45,3220.02,3174.22,3203.79,4181312
2024-01-26,3190.88,3198.34,3177.91,3185.37,4741361
2024-01-29,3177.03,3177.76,3175.25,3175.99,4141424
2024-01-30,3168.37,3194.38,3145.71,3171.72,3585879
2024-01-31,3204.78,3212.16,3185.07,3192.45,3156815
2024-02-01,3173.32,3179.02,3168.97,3174.68,1892410
2024-02-02,3220.46,3225.56,3220.21,3225.31,2372839
2024-02-05,3297.19,3305.76,3278.15,3286.71,4426042
2024-02-06,3255.31,3272.19,3242.17,3259.05,975432
2024-02-07,3207.67,3215.2,3205.41,3212.95,4214296
2024-02-08,3203.93,3216.19,3201.94,3214.2,4151467
2024-02-09,3184.05,3198.98,3176.54,3191.47,758876
2024-02-12,3221.99,3234.8,3215.9,3228.71,1587854
2024-02-13,3239.41,3248.82,3224.32,3233.72,1895033
2024-02-14,3202.51,3229.44,3184.86,3211.79,4609358
2024-02-15,3180.42,3200.85,3176.82,3197.26,2474758
2024-02-16,3139.1,3149.89,3125.61,3136.4,3991270
2024-02-19,3123.15,3130.12,3121.82,3128.78,3203109
2024-02-20,3136.59,3147.74,3125.58,3136.74,864211
