Date,Open,High,Low,Close,Volume
2024-01-01,1850.18,1863.73,1838.48,1852.03,4746625
2024-01-02,1857.9,1866.63,1851.15,1859.88,1588444
2024-01-03,1821.83,1827.23,1809.85,1815.25,1489754
2024-01-04,1798.53,1810.15,1782.67,1794.29,3808359
2024-01-05,1810.24,1826.16,1801.98,1817.91,3590215
2024-01-08,1771.9,1786.63,1760.13,1774.85,2331880
2024-01-09,1831.66,1834.82,1830.63,1833.79,900048
2024-01-10,1833.28,1841.32,1818.26,1826.3,2843664
2024-01-11,1830.35,1861.15,1810.53,1841.33,3795652
2024-01-12,1775.05,1788.74,1743.27,1756.96,2634433
2024-01-15,1738.19,1757.65,1725.49,1744.95,1706572
2024-01-16,1764.44,1769.61,1759.35,1764.52,3164956
2024-01-17,1749.41,1774.42,1734.82,1759.82,3474209
2024-01-18,1728.9,1742.11,1727.21,1740.43,3160721
2024-01-19,1734.34,1751.0,1725.46,1742.11,4428670
2024-01-22,1741.05,1767.53,1723.23,1749.71,1912706
2024-01-23,1758.21,1766.43,1753.72,1761.94,3243251
2024-01-24,1685.75,1710.42,1669.55,1694.22,4347612
2024-01-25,1716.83,1723.65,1703.95,1710.76,1457076
2024-01-26,1755.58,1776.54,1741.66,1762.62,1767147
2024-01-29,1827.85,1848.19,1815.87,1836.22,721244
2024-01-30,1854.0,1862.6,1849.13,1857.72,2187401
2024-01-31,1883.74,1893.9,1864.09,1874.25,700762
2024-02-01,1850.12,1851.62,1846.6,1848.1,3858686
2024-02-02,1824.63,1830.86,1819.31,1825.55,899653
2024-02-05,1825.63,1844.13,1820.59,1839.08,3615893
2024-02-06,1783.0,1795.43,1781.03,1793.45,3109180
2024-02-07,1814.58,1836.69,1804.37,1826.49,4945543
2024-02-08,1899.94,1905.38,1881.92,1887.36,2066980
2024-02-09,1878.38,1884.24,1867.45,1873.31,2051574
2024-02-12,1833.01,1849.5,1824.61,1841.1,1593981
2024-02-13,1774.24,1782.2,1771.41,1779.37,2917717
2024-02-14,1810.4,1828.89,1799.56,1818.05,1486879
2024-02-15,1799.98,1814.52,1793.61,1808.15,1010260
2024-02-16,1862.33,1862.34,1857.95,1857.97,4768616
2024-02-19,1831.92,1839.13,1827.41,1834.62,3556228
2024-02-20,1893.47,1896.29,1870.76,1873.57,1034674
2024-02-21,1884.73,1891.33,1866.18,1872.78,3281279
2024-02-22,1876.96,1885.42,1856.05,1864.5,1871664
2024-02-23,1861.07,1874.49,1841.3,1854.72,1310260
2024-02-26,1783.67,1796.59,1774.61,1787.53,2621647
2024-02-27,1874.7,1877.83,1865.86,1868.99,4044318
2024-02-28,1861.76,1880.44,1846.4,1865.08,502022
2024-02-29,1917.54,1927.77,1891.49,1901.72,2098373
2024-03-01,1902.5,1918.4,1882.69,1898.58,4644289
2024-03-04,1853.54,1866.31,1838.3,1851.07,2274502
2024-03-05,1828.57,1841.15,1814.8,1827.38,945943
2024-03-06,1891.89,1903.13,1864.01,1875.24,2428637
2024-03-07,1840.21,1877.62,1816.36,1853.77,3571117
2024-03-08,1862.18,1862.86,1844.19,1844.87,4983450
