Date,Open,High,Low,Close,Volume
2024-01-01,1349.98,1353.62,1342.91,1346.55,2372550
2024-01-02,1349.26,1354.75,1335.72,1341.21,1916953
2024-01-03,1370.51,1370.52,1368.08,1368.09,2409452
2024-01-04,1398.47,1400.2,1396.95,1398.67,4560664
2024-01-05,1347.44,1360.64,1344.94,1358.14,3796475
2024-01-08,1325.04,1335.41,1324.36,1334.73,4084099
2024-01-09,1342.32,1344.24,1339.79,1341.7,1642998
2024-01-10,1358.05,1361.42,1356.43,1359.8,4761015
2024-01-11,1368.09,1377.58,1364.06,1373.54,2459919
2024-01-12,1370.68,1372.75,1368.28,1370.35,3433830
2024-01-15,1382.61,1383.07,1381.57,1382.04,3639738
2024-01-16,1392.3,1395.6,1384.29,1387.59,3483146
2024-01-17,1397.32,1400.64,1393.32,1396.64,3208086
2024-01-18,1412.32,1418.43,1400.0,1406.11,2660139
2024-01-19,1412.56,1417.52,1407.55,1412.52,3414382
2024-01-22,1397.15,1398.12,1396.75,1397.73,4573338
2024-01-23,1424.87,1429.26,1415.04,1419.44,2253981
2024-01-24,1395.77,1404.76,1391.71,1400.69,2798947
2024-01-25,1407.75,1410.56,1390.86,1393.67,1310341
2024-01-26,1400.07,1407.14,1391.13,1398.19,2097770
2024-01-29,1391.31,1396.41,1384.32,1389.41,3974214
2024-01-30,1381.83,1384.49,1376.57,1379.23,3381687
2024-01-31,1408.92,1410.97,1397.43,1399.49,1450157
2024-02-01,1399.07,1399.28,1394.9,1395.1,2957627
2024-02-02,1387.89,1401.66,1382.16,1395.93,4153825
2024-02-05,1383.75,1383.85,1376.71,1376.81,1058089
2024-02-06,1379.93,1387.57,1373.98,1381.62,778768
2024-02-07,1395.19,1397.92,1391.93,1394.66,2267264
2024-02-08,1390.21,1399.06,1387.78,1396.63,3454463
2024-02-09,1392.4,1401.82,1380.36,1389.78,1909964
2024-02-12,1429.54,1432.9,1429.53,1432.89,4194649
2024-02-13,1437.78,1449.31,1425.72,1437.26,4310751
2024-02-14,1427.33,1430.62,1425.5,1428.79,2896336
2024-02-15,1407.17,1416.93,1387.76,1397.51,2204791
2024-02-16,1425.21,1433.22,1407.13,1415.14,687722
2024-02-19,1419.78,1429.11,1410.21,1419.54,4196998
2024-02-20,1421.55,1426.75,1416.02,1421.22,4528771
2024-02-21,1397.65,1404.11,1393.07,1399.53,2490753
2024-02-22,1381.42,1384.99,1372.39,1375.95,2824107
2024-02-23,1381.76,1384.51,1380.65,1383.4,3890752
2024-02-26,1392.68,1401.17,1386.31,1394.79,3629169
2024-02-27,1403.59,1406.82,1395.43,1398.67,1108768
2024-02-28,1390.99,1397.06,1387.6,1393.68,3525405
2024-02-29,1393.99,1398.68,1389.49,1394.18,4660925
2024-03-01,1397.91,1409.93,1393.87,1405.89,3878084
2024-03-04,1416.49,1417.89,1411.51,1412.92,2662519
2024-03-05,1431.83,1438.73,1415.03,1421.92,2854225
