Date,Open,High,Low,Close,Volume
2024-01-01,2927.79,2929.13,2911.81,2913.15,1818653
2024-01-02,2926.47,2940.26,2922.15,2935.93,1002099
2024-01-03,2860.51,2886.22,2844.93,2870.63,2831075
2024-01-04,2800.31,2810.35,2796.99,2807.04,1025421
2024-01-05,2873.73,2889.42,2858.62,2874.31,3755395
2024-01-08,2894.93,2903.92,2881.73,2890.71,1838430
2024-01-09,2887.86,2896.21,2874.45,2882.8,2701543
2024-01-10,2925.19,2932.48,2910.09,2917.38,3632192
2024-01-11,2898.27,2906.12,2891.31,2899.16,4300861
2024-01-12,2895.63,2899.08,2895.43,2898.88,2805254
2024-01-15,2887.12,2889.13,2871.79,2873.81,848547
2024-01-16,2820.42,2844.77,2818.52,2842.86,1664413
2024-01-17,2813.25,2819.08,2806.93,2812.75,3259347
2024-01-18,2841.52,2849.52,2830.07,2838.06,688577
2024-01-19,2882.43,2886.77,2862.85,2867.2,2171977
2024-01-22,2864.05,2890.49,2851.15,2877.59,1955370
2024-01-23,2880.3,2890.66,2873.38,2883.74,1880792
2024-01-24,2903.28,2917.38,2900.39,2914.5,4791969
2024-01-25,2879.94,2905.4,2869.22,2894.69,4746388
2024-01-26,2858.62,2862.5,2856.4,2860.28,4537642
2024-01-29,2883.44,2889.95,2870.14,2876.65,4387133
2024-01-30,2874.86,2880.71,2859.22,2865.07,4520821
2024-01-31,2882.3,2887.67,2881.28,2886.65,1326722
2024-02-01,2902.77,2903.62,2896.45,2897.3,2270439
2024-02-02,2926.53,2929.26,2925.43,2928.17,758466
2024-02-05,2992.75,2999.98,2980.82,2988.04,4087375
2024-02-06,2985.68,3003.77,2957.85,2975.94,4402647
2024-02-07,2905.68,2913.0,2899.96,2907.28,630330
2024-02-08,2896.8,2898.43,2886.36,2887.99,1261836
2024-02-09,2874.82,2893.62,2865.94,2884.74,1259854
2024-02-12,2903.93,2910.47,2891.99,2898.53,4677125
2024-02-13,2932.73,2935.05,2921.85,2924.17,4056629
2024-02-14,2887.86,2893.41,2874.71,2880.26,1747939
2024-02-15,2836.8,2847.81,2835.35,2846.36,705518
2024-02-16,2796.4,2805.76,2788.66,2798.03,2352442
2024-02-19,2790.5,2807.21,2771.39,2788.11,3129952
2024-02-20,2784.2,2796.38,2768.53,2780.71,702427
2024-02-21,2824.35,2835.36,2812.42,2823.43,2918891
2024-02-22,2848.91,2863.84,2822.47,2837.41,4915264
2024-02-23,2853.98,2870.62,2847.86,2864.5,1349311
2024-02-26,2835.39,2837.79,2834.93,2837.33,1325441
2024-02-27,2795.0,2819.53,2783.91,2808.44,2439841
2024-02-28,2829.82,2831.12,2823.56,2824.85,1937937
2024-02-29,2825.23,2830.12,2815.9,2820.8,4637325
2024-03-01,2797.67,2804.19,2764.85,2771.37,4041761
2024-03-04,2810.19,2815.66,2796.57,2802.04,1636577
2024-03-05,2810.49,2820.12,2798.23,2807.85,2006992
2024-03-06,2821.85,2837.38,2804.28,2819.81,3357134
2024-03-07,2813.64,2819.4,2810.4,2816.16,4421971
2024-03-08,2808.58,2830.91,2785.22,2807.54,1408953
2024-03-11,2840.93,2857.19,2822.45,2838.71,1832422
2024-03-12,2782.27,2804.02,2776.1,2797.85,3244310
2024-03-13,2832.8,2834.41,2829.62,2831.22,4369272
2024-03-14,2815.91,2820.29,2810.72,2815.1,1801194
2024-03-15,2836.56,2838.01,2821.07,2822.52,2603738
2024-03-18,2838.66,2843.71,2834.67,2839.72,3567036
2024-03-19,2822.96,2846.77,2805.3,2829.1,2413801
2024-03-20,2825.46,2829.81,2818.96,2823.31,3967801
