Date,Open,High,Low,Close,Volume
2024-01-01,2541.72,2555.76,2506.8,2520.83,3513448
2024-01-02,2562.22,2578.9,2539.96,2556.64,3870349
2024-01-03,2705.97,2733.41,2657.26,2684.7,2613266
2024-01-04,2668.92,2694.82,2649.55,2675.45,3381303
2024-01-05,2631.4,2661.5,2604.4,2634.5,3077566
2024-01-08,2669.4,2690.82,2629.42,2650.84,3623092
2024-01-09,2750.03,2773.53,2713.0,2736.51,2527650
2024-01-10,2756.39,2761.75,2755.73,2761.09,3430540
2024-01-11,2779.35,2817.61,2758.22,2796.49,3404178
2024-01-12,2639.45,2681.03,2601.02,2642.6,3385741
2024-01-15,2700.21,2712.09,2699.21,2711.09,4426088
2024-01-16,2743.46,2763.01,2696.47,2716.02,2073445
2024-01-17,2750.56,2759.39,2729.54,2738.37,4455088
2024-01-18,2603.01,2629.51,2588.24,2614.74,626745
2024-01-19,2598.82,2652.28,2561.36,2614.82,2687823
2024-01-22,2577.51,2595.54,2571.28,2589.31,2488216
2024-01-23,2660.26,2670.54,2658.72,2669.0,4406383
2024-01-24,2673.71,2683.58,2666.46,2676.32,704568
2024-01-25,2690.41,2707.2,2656.17,2672.96,1475383
2024-01-26,2696.74,2729.49,2679.36,2712.1,2609903
2024-01-29,2731.34,2741.76,2684.77,2695.19,4169524
2024-01-30,2665.38,2699.45,2646.12,2680.19,2588355
2024-01-31,2672.69,2731.98,2635.66,2694.94,3375271
2024-02-01,2765.94,2777.28,2727.51,2738.85,1304246
2024-02-02,2771.9,2779.3,2743.2,2750.61,4744826
2024-02-05,2712.52,2735.65,2692.28,2715.42,4029177
2024-02-06,2742.21,2771.53,2706.77,2736.09,693428
2024-02-07,2926.86,2939.47,2907.29,2919.9,3668942
2024-02-08,3059.05,3059.44,3056.2,3056.6,1082375
2024-02-09,2870.82,2920.24,2843.37,2892.79,3017927
2024-02-12,2868.95,2927.16,2853.07,2911.28,3687992
2024-02-13,2992.97,3018.98,2981.84,3007.85,4666588
2024-02-14,2987.69,2993.82,2950.11,2956.24,817273
2024-02-15,3058.16,3092.65,2990.78,3025.27,1792342
2024-02-16,2986.5,3002.18,2975.42,2991.09,3606695
2024-02-19,2994.26,3038.82,2966.59,3011.16,1679144
2024-02-20,2905.19,2928.2,2877.46,2900.46,3706694
2024-02-21,2932.94,2936.51,2921.84,2925.41,1325461
2024-02-22,2970.04,2978.08,2951.59,2959.63,1236117
2024-02-23,2947.81,3009.46,2930.45,2992.1,2949979
2024-02-26,3093.86,3100.16,3031.38,3037.67,3600953
2024-02-27,2981.11,3004.1,2938.47,2961.46,1424107
2024-02-28,2935.37,2940.16,2933.98,2938.77,4432793
2024-02-29,2931.94,2946.73,2929.54,2944.33,4410030
2024-03-01,3177.31,3182.59,3153.76,3159.04,865418
2024-03-04,3188.19,3193.09,3174.07,3178.96,1869393
2024-03-05,3041.47,3071.71,3009.59,3039.83,3002544
2024-03-06,3034.93,3043.85,3017.89,3026.81,2709189
2024-03-07,3077.36,3091.08,3065.67,3079.39,1647461
2024-03-08,3134.59,3150.72,3111.1,3127.23,2882798
2024-03-11,3239.1,3278.15,3186.32,3225.38,4832505
2024-03-12,3289.55,3293.54,3278.96,3282.95,1884409
2024-03-13,3350.28,3357.54,3337.33,3344.58,1485606
2024-03-14,3367.94,3370.1,3338.53,3340.68,3822888
2024-03-15,3408.29,3470.64,3378.14,3440.48,3068050
2024-03-18,3412.35,3434.48,3406.23,3428.37,3614328
2024-03-19,3438.18,3443.54,3432.28,3437.65,3408703
2024-03-20,3323.71,3355.36,3306.33,3337.98,3923649
2024-03-21,3232.58,3265.79,3206.89,3240.1,3781738
2024-03-22,3320.15,3325.02,3290.41,3295.29,3226642
2024-03-25,3291.11,3306.58,3278.51,3293.98,2545199
2024-03-26,3259.63,3302.99,3251.59,3294.94,2570820
2024-03-27,3267.98,3293.01,3251.08,3276.11,1694220
2024-03-28,3239.98,3242.58,3236.28,3238.88,2520126
