Date,Open,High,Low,Close,Volume
2024-01-01,2839.95,2878.74,2810.76,2849.55,1117324
2024-01-02,2810.34,2833.15,2781.85,2804.66,2100866
2024-01-03,3003.13,3015.89,2962.65,2975.4,4211488
2024-01-04,2836.44,2852.24,2815.25,2831.05,3190930
2024-01-05,2794.93,2803.36,2791.38,2799.81,4994814
2024-01-08,2904.54,2917.94,2878.96,2892.37,1289752
2024-01-09,2902.04,2921.41,2885.62,2904.99,2166363
2024-01-10,2891.3,2908.39,2865.4,2882.49,893041
2024-01-11,2913.14,2922.3,2907.48,2916.64,590571
2024-01-12,2803.42,2813.43,2779.34,2789.35,4657911
2024-01-15,2833.3,2864.31,2825.63,2856.64,2718063
2024-01-16,2787.04,2808.37,2782.37,2803.69,3469141
2024-01-17,2868.89,2915.0,2846.66,2892.77,1743239
2024-01-18,2801.3,2824.03,2779.51,2802.23,731918
2024-01-19,2754.55,2807.14,2726.87,2779.46,4517487
2024-01-22,2706.83,2721.6,2703.07,2717.85,3462878
2024-01-23,2736.26,2759.88,2730.52,2754.13,3701764
2024-01-24,2762.22,2781.24,2719.45,2738.48,2900224
2024-01-25,2749.32,2797.05,2717.64,2765.37,2319454
2024-01-26,2739.9,2785.89,2714.72,2760.71,2400235
2024-01-29,2760.54,2788.57,2728.5,2756.53,3929127
2024-01-30,2732.56,2737.57,2700.82,2705.83,1522660
2024-01-31,2744.87,2754.79,2736.81,2746.74,2035426
2024-02-01,2794.37,2803.1,2786.28,2795.01,1883480
2024-02-02,2820.06,2849.29,2769.66,2798.89,2847936
2024-02-05,2761.64,2787.87,2721.28,2747.51,4854407
2024-02-06,2785.46,2798.74,2765.25,2778.53,4652533
2024-02-07,2916.26,2929.03,2913.48,2926.25,2951629
2024-02-08,3028.66,3041.92,3007.32,3020.59,1400707
2024-02-09,2903.49,2930.17,2900.14,2926.82,4731838
2024-02-12,2965.63,2980.44,2961.7,2976.51,1908761
2024-02-13,3090.22,3107.35,3047.39,3064.52,2103474
2024-02-14,3083.15,3099.07,3043.88,3059.81,4485170
2024-02-15,3002.72,3048.63,2949.13,2995.04,1684953
2024-02-16,2989.32,3051.91,2960.9,3023.49,2578452
2024-02-19,3041.29,3081.42,3022.84,3062.97,4625457
2024-02-20,2962.4,2985.66,2950.97,2974.24,1930499
2024-02-21,3032.74,3039.12,3029.41,3035.79,3309418
2024-02-22,2974.63,3015.53,2955.67,2996.58,667844
2024-02-23,2978.88,3004.35,2957.71,2983.18,4980195
2024-02-26,3108.92,3125.67,3060.3,3077.06,2385288
2024-02-27,3000.59,3020.15,2973.99,2993.56,3516301
2024-02-28,2964.52,2974.14,2951.11,2960.73,2452897
2024-02-29,2886.4,2913.87,2876.24,2903.71,2328497
2024-03-01,2919.83,2960.04,2907.93,2948.14,579960
2024-03-04,2837.71,2874.85,2821.14,2858.28,1748566
2024-03-05,2689.03,2721.44,2683.34,2715.75,2212967
2024-03-06,2656.92,2665.4,2647.27,2655.75,2161085
2024-03-07,2696.36,2709.1,2677.56,2690.31,1730904
2024-03-08,2745.47,2763.58,2742.98,2761.09,3391001
2024-03-11,2885.43,2903.18,2865.19,2882.93,4231104
2024-03-12,3043.76,3064.13,2997.41,3017.78,4510758
2024-03-13,3034.41,3035.27,2999.13,3000.0,4875211
2024-03-14,2957.5,2967.43,2934.28,2944.21,3423541
2024-03-15,3035.09,3060.02,3013.27,3038.2,2349588
2024-03-18,3072.84,3074.05,3058.4,3059.61,3407730
2024-03-19,3049.65,3080.36,2994.97,3025.68,1095727
2024-03-20,2971.94,3022.33,2956.92,3007.31,4175936
2024-03-21,2899.64,2901.79,2872.54,2874.68,2907392
2024-03-22,2808.36,2839.0,2786.7,2817.35,1243142
2024-03-25,2835.94,2869.17,2811.62,2844.85,2416239
2024-03-26,2805.87,2824.68,2792.9,2811.71,1854939
2024-03-27,2844.8,2852.29,2831.99,2839.48,2073038
2024-03-28,2770.52,2795.31,2763.9,2788.68,727659
2024-03-29,2673.66,2681.67,2670.11,2678.13,572268
2024-04-01,2670.0,2695.7,2636.11,2661.81,2073370
2024-04-02,2734.99,2745.0,2721.47,2731.49,1857502
2024-04-03,2758.05,2766.14,2743.82,2751.91,4994707
2024-04-04,2718.58,2745.42,2696.9,2723.74,1681567
2024-04-05,2761.34,2767.06,2744.44,2750.16,1981905
2024-04-08,2821.14,2825.95,2798.97,2803.78,4618441
2024-04-09,2783.26,2795.94,2754.43,2767.11,4368978
2024-04-10,2756.18,2761.68,2743.79,2749.29,755830
2024-04-11,2814.83,2839.77,2774.48,2799.43,885999
2024-04-12,2836.83,2851.52,2807.73,2822.42,927441
2024-04-15,2863.35,2869.39,2813.1,2819.15,2568705
2024-04-16,2800.66,2801.57,2779.91,2780.82,3076610
2024-04-17,2663.48,2682.42,2645.92,2664.86,2081582
2024-04-18,2664.61,2684.09,2659.44,2678.92,558370
2024-04-19,2651.69,2665.37,2642.08,2655.75,1407122
