Date,Open,High,Low,Close,Volume
2024-01-01,1730.6,1734.32,1729.81,1733.52,4922305
2024-01-02,1744.49,1747.23,1744.09,1746.84,1721696
2024-01-03,1707.91,1710.68,1701.32,1704.09,3362231
2024-01-04,1681.31,1683.61,1678.54,1680.83,3516889
2024-01-05,1705.96,1706.34,1705.07,1705.44,3351799
2024-01-08,1707.04,1718.38,1704.99,1716.33,1823797
2024-01-09,1699.71,1706.28,1694.84,1701.41,3914668
2024-01-10,1711.18,1715.47,1702.71,1707.0,1896632
2024-01-11,1692.97,1696.82,1692.89,1696.74,4164192
2024-01-12,1687.23,1692.49,1678.63,1683.89,2194785
2024-01-15,1658.51,1663.72,1652.05,1657.25,4266359
2024-01-16,1645.86,1647.26,1645.4,1646.79,4910905
2024-01-17,1635.0,1637.54,1626.19,1628.73,3897083
2024-01-18,1633.6,1638.67,1630.1,1635.18,2570442
2024-01-19,1636.03,1638.62,1634.7,1637.29,2403039
2024-01-22,1638.89,1641.28,1637.48,1639.87,2198189
2024-01-23,1638.1,1642.04,1633.79,1637.73,2080511
2024-01-24,1658.44,1658.54,1654.73,1654.84,2615103
2024-01-25,1640.25,1653.27,1634.11,1647.13,2686017
2024-01-26,1653.11,1653.8,1648.36,1649.05,3736415
2024-01-29,1656.23,1658.83,1653.32,1655.92,4503404
2024-01-30,1655.89,1659.94,1649.25,1653.29,4476608
2024-01-31,1664.77,1664.86,1653.47,1653.56,3219039
2024-02-01,1651.5,1660.51,1644.9,1653.9,4958608
2024-02-02,1671.29,1683.59,1664.8,1677.11,4521230
2024-02-05,1706.21,1706.45,1705.03,1705.27,2687289
2024-02-06,1704.22,1712.49,1694.25,1702.52,2355132
2024-02-07,1682.96,1684.91,1676.86,1678.81,2570643
2024-02-08,1676.41,1680.22,1675.16,1678.97,605452
2024-02-09,1661.73,1673.11,1654.27,1665.65,1986402
2024-02-12,1667.82,1677.21,1665.71,1675.1,2222974
2024-02-13,1680.65,1688.58,1679.26,1687.19,4005916
2024-02-14,1668.77,1671.36,1668.15,1670.74,1681521
2024-02-15,1651.35,1653.49,1649.77,1651.9,3450137
2024-02-16,1634.89,1639.38,1620.89,1625.38,1949512
2024-02-19,1612.44,1621.55,1611.11,1620.22,2135140
2024-02-20,1624.08,1626.84,1619.78,1622.54,810320
2024-02-21,1634.43,1641.11,1631.11,1637.8,2833437
