Date,Open,High,Low,Close,Volume
2024-01-01,2966.11,2969.9,2951.34,2955.13,3435423
2024-01-02,3096.11,3101.77,3066.01,3071.68,1223294
2024-01-03,3097.92,3152.18,3051.49,3105.75,1758163
2024-01-04,3095.34,3123.51,3063.34,3091.51,4838315
2024-01-05,3153.55,3167.88,3141.46,3155.79,3532035
2024-01-08,3237.33,3241.57,3204.52,3208.76,2936204
2024-01-09,3102.12,3121.27,3076.58,3095.73,512358
2024-01-10,3133.45,3137.62,3122.49,3126.67,672532
2024-01-11,3064.15,3078.46,3050.45,3064.75,3004652
2024-01-12,3067.69,3080.87,3058.29,3071.47,866736
2024-01-15,3127.26,3154.5,3125.04,3152.28,1140297
2024-01-16,3143.66,3181.85,3127.34,3165.54,3097660
2024-01-17,3301.96,3309.56,3291.13,3298.73,4824003
2024-01-18,3281.88,3282.93,3279.85,3280.91,4258822
2024-01-19,3342.12,3360.04,3320.82,3338.74,2594701
2024-01-22,3425.37,3441.5,3391.65,3407.78,4736846
2024-01-23,3582.92,3632.56,3531.46,3581.1,3226768
2024-01-24,3604.62,3620.55,3595.58,3611.51,4749962
2024-01-25,3590.42,3608.97,3576.01,3594.56,1569634
2024-01-26,3731.72,3753.89,3704.57,3726.74,3103765
2024-01-29,3674.45,3704.36,3652.2,3682.12,4650995
2024-01-30,3674.39,3683.2,3644.27,3653.08,4916341
2024-01-31,3597.69,3597.92,3597.67,3597.91,4370236
2024-02-01,3756.29,3771.45,3735.95,3751.11,1173182
2024-02-02,3817.6,3848.45,3803.91,3834.76,3285109
2024-02-05,3890.18,3897.31,3860.48,3867.61,926004
2024-02-06,3826.18,3858.5,3763.92,3796.24,2222342
2024-02-07,3811.15,3854.92,3796.06,3839.83,636250
2024-02-08,3930.32,3930.38,3921.63,3921.7,3917160
2024-02-09,3892.41,3898.43,3888.7,3894.72,3983594
2024-02-12,3901.31,3937.3,3859.25,3895.24,916024
2024-02-13,3981.82,3992.95,3960.84,3971.98,4624686
2024-02-14,3935.72,3988.03,3932.22,3984.53,4277183
2024-02-15,4131.68,4163.43,4082.8,4114.55,4279251
2024-02-16,3935.36,3953.47,3893.4,3911.51,2512673
2024-02-19,4088.5,4099.41,4050.33,4061.24,4728362
2024-02-20,3900.77,3933.13,3888.7,3921.07,4923987
2024-02-21,4026.26,4036.78,4016.42,4026.94,2966305
2024-02-22,4054.6,4086.17,4035.05,4066.61,2203314
2024-02-23,4030.68,4096.75,4007.37,4073.44,3933686
2024-02-26,3863.03,3886.3,3852.95,3876.22,698637
2024-02-27,3800.63,3845.3,3778.67,3823.34,2015194
2024-02-28,3789.51,3805.16,3766.93,3782.58,519737
2024-02-29,3749.09,3801.8,3730.21,3782.91,3949605
2024-03-01,3829.92,3855.01,3825.51,3850.59,693508
2024-03-04,3833.5,3844.56,3833.39,3844.45,3888706
2024-03-05,3796.74,3798.16,3779.37,3780.79,3045443
2024-03-06,3812.04,3817.27,3749.65,3754.88,2460212
2024-03-07,3790.24,3811.18,3763.02,3783.96,3339403
2024-03-08,3736.48,3776.24,3717.96,3757.73,696945
2024-03-11,3673.77,3707.43,3653.84,3687.5,4150011
2024-03-12,3761.26,3764.26,3744.74,3747.74,1698183
2024-03-13,3689.37,3728.93,3677.22,3716.79,4291302
2024-03-14,3783.26,3808.48,3735.42,3760.65,4483332
2024-03-15,3874.91,3892.84,3851.18,3869.11,2978431
