Date,Open,High,Low,Close,Volume
2024-01-01,2766.2,2789.05,2759.22,2782.06,2379690
2024-01-02,2866.61,2876.77,2847.51,2857.67,4309717
2024-01-03,2872.38,2887.46,2868.66,2883.74,2631466
2024-01-04,2874.96,2893.31,2853.34,2871.69,1122564
2024-01-05,2935.41,2941.59,2919.19,2925.37,1319373
2024-01-08,3052.57,3069.57,3004.01,3021.0,1927575
2024-01-09,2966.55,3002.81,2950.95,2987.21,3120006
2024-01-10,3105.58,3133.79,3079.97,3108.19,4575289
2024-01-11,3086.13,3101.96,3072.2,3088.02,2270379
2024-01-12,3063.86,3082.81,3044.89,3063.84,1752671
2024-01-15,3057.11,3077.6,2994.17,3014.66,3446020
2024-01-16,3099.27,3109.25,3092.23,3102.21,1929462
2024-01-17,3173.94,3223.06,3169.27,3218.39,2461026
2024-01-18,3203.01,3208.99,3200.52,3206.5,1478551
2024-01-19,3279.81,3291.43,3270.32,3281.94,1825302
2024-01-22,3329.39,3364.59,3298.59,3333.79,744773
2024-01-23,3401.29,3425.4,3390.62,3414.74,3057836
2024-01-24,3397.2,3444.58,3374.59,3421.97,2653052
2024-01-25,3410.03,3420.68,3359.49,3370.14,1273805
2024-01-26,3482.19,3518.24,3440.08,3476.13,3896838
2024-01-29,3457.25,3473.31,3444.83,3460.89,1408129
2024-01-30,3407.4,3438.58,3336.95,3368.13,3469988
2024-01-31,3279.99,3317.36,3258.32,3295.68,1004408
2024-02-01,3420.72,3441.79,3388.4,3409.47,624312
2024-02-02,3478.29,3504.74,3475.82,3502.26,1055655
2024-02-05,3583.02,3586.13,3565.22,3568.33,2855223
2024-02-06,3535.66,3573.61,3519.83,3557.78,1308917
2024-02-07,3603.15,3605.21,3591.83,3593.89,1986301
2024-02-08,3592.26,3611.08,3535.41,3554.22,2918915
2024-02-09,3489.47,3496.72,3480.44,3487.69,3388049
2024-02-12,3429.2,3488.89,3411.21,3470.9,4029446
2024-02-13,3486.92,3499.67,3473.49,3486.24,2323219
2024-02-14,3439.07,3467.46,3401.64,3430.03,976891
2024-02-15,3445.15,3468.21,3405.16,3428.23,4912385
2024-02-16,3441.25,3456.66,3398.26,3413.68,3999836
2024-02-19,3540.02,3558.4,3492.3,3510.69,4228025
2024-02-20,3525.33,3536.86,3516.34,3527.86,4652757
2024-02-21,3538.69,3558.05,3532.17,3551.53,3651669
2024-02-22,3609.78,3633.03,3608.79,3632.04,4970557
2024-02-23,3634.07,3678.79,3600.13,3644.86,2820501
2024-02-26,3582.8,3591.9,3564.36,3573.46,3021583
2024-02-27,3429.63,3459.72,3425.08,3455.17,3160007
2024-02-28,3434.44,3484.3,3402.13,3451.98,2787070
2024-02-29,3516.33,3543.82,3478.04,3505.53,2489609
