Date,Open,High,Low,Close,Volume
2024-01-01,2724.69,2726.88,2713.42,2715.61,3796643
2024-01-02,2767.39,2778.35,2754.83,2765.79,2626853
2024-01-03,2767.88,2803.9,2753.0,2789.02,2420114
2024-01-04,2818.05,2827.91,2805.49,2815.35,893481
2024-01-05,2958.56,2967.9,2929.98,2939.32,775129
2024-01-08,2915.28,2958.48,2902.63,2945.83,4975228
2024-01-09,2923.64,2953.86,2861.64,2891.86,4375553
2024-01-10,2943.59,2957.28,2939.79,2953.47,670036
2024-01-11,2887.2,2916.65,2884.07,2913.53,2542398
2024-01-12,2923.54,2931.01,2913.85,2921.32,4637820
2024-01-15,2918.05,2947.55,2875.33,2904.82,3704231
2024-01-16,2907.98,2921.94,2898.5,2912.46,860891
2024-01-17,3030.53,3038.07,3017.82,3025.36,2431471
2024-01-18,3115.23,3115.3,3079.39,3079.46,4366839
2024-01-19,3184.69,3223.14,3142.66,3181.11,1847103
2024-01-22,3240.2,3249.55,3178.74,3188.09,2967087
2024-01-23,3290.03,3306.92,3250.49,3267.38,1952917
2024-01-24,3262.71,3277.12,3247.38,3261.79,1383506
2024-01-25,3280.58,3283.14,3272.78,3275.35,4369954
2024-01-26,3391.03,3403.02,3384.99,3396.98,1540977
2024-01-29,3286.92,3292.14,3277.21,3282.43,3123709
2024-01-30,3297.46,3333.01,3251.8,3287.35,2082237
2024-01-31,3240.38,3253.79,3234.16,3247.57,3259498
2024-02-01,3321.37,3354.54,3313.51,3346.68,4073102
2024-02-02,3362.77,3373.49,3327.88,3338.6,2986700
2024-02-05,3380.33,3381.49,3361.23,3362.39,1162157
2024-02-06,3310.14,3353.8,3292.4,3336.05,1793433
2024-02-07,3353.75,3369.65,3334.71,3350.61,1590041
2024-02-08,3359.5,3386.39,3313.81,3340.7,3599241
2024-02-09,3328.55,3346.48,3293.86,3311.79,3617050
2024-02-12,3275.89,3290.34,3273.95,3288.4,1145036
2024-02-13,3382.17,3394.73,3351.51,3364.07,3262960
2024-02-14,3334.32,3343.73,3324.63,3334.04,2588126
2024-02-15,3363.09,3376.87,3342.17,3355.94,2393710
2024-02-16,3265.23,3287.93,3259.06,3281.77,4361371
2024-02-19,3291.68,3372.5,3289.5,3370.32,772413
2024-02-20,3293.26,3310.63,3289.97,3307.35,3768466
2024-02-21,3371.44,3382.07,3350.93,3361.56,3013244
2024-02-22,3392.32,3438.04,3350.42,3396.14,1663251
2024-02-23,3469.5,3485.41,3441.27,3457.18,1531495
2024-02-26,3442.98,3485.86,3379.36,3422.24,1236366
2024-02-27,3367.44,3388.41,3352.58,3373.55,3254451
2024-02-28,3315.38,3325.58,3312.99,3323.19,3448249
2024-02-29,3264.67,3311.09,3257.84,3304.27,1735321
2024-03-01,3366.86,3414.62,3347.9,3395.66,2216991
2024-03-04,3338.0,3380.79,3319.9,3362.69,4911489
2024-03-05,3319.81,3325.58,3303.94,3309.71,3672656
2024-03-06,3415.25,3452.8,3383.71,3421.26,3157672
2024-03-07,3351.6,3385.08,3327.96,3361.44,1037715
2024-03-08,3334.87,3347.36,3334.28,3346.77,3070874
2024-03-11,3346.44,3389.6,3317.62,3360.78,2270107
2024-03-12,3445.41,3452.32,3421.15,3428.06,4265457
2024-03-13,3350.39,3376.47,3322.59,3348.68,1364887
2024-03-14,3365.69,3371.98,3341.21,3347.5,4969241
2024-03-15,3348.53,3390.12,3347.68,3389.27,4736286
2024-03-18,3376.26,3395.46,3347.23,3366.43,4006273
2024-03-19,3474.03,3486.74,3470.56,3483.27,2752648
2024-03-20,3597.58,3608.24,3592.47,3603.13,3172529
2024-03-21,3504.54,3509.09,3474.2,3478.75,4578090
2024-03-22,3470.01,3491.3,3456.15,3477.44,4385861
2024-03-25,3433.8,3450.66,3407.72,3424.57,4140699
2024-03-26,3273.26,3293.95,3270.93,3291.62,1315440
2024-03-27,3273.42,3282.6,3263.59,3272.77,2335215
2024-03-28,3255.9,3293.76,3246.68,3284.54,3939032
2024-03-29,3255.04,3276.28,3234.83,3256.06,1059617
2024-04-01,3227.0,3242.65,3204.54,3220.19,3559544
2024-04-02,3244.02,3247.68,3220.8,3224.47,2112344
2024-04-03,3366.81,3404.89,3343.89,3381.97,3034629
2024-04-04,3220.66,3238.55,3212.13,3230.03,4631027
2024-04-05,3304.88,3340.96,3280.51,3316.58,4400402
2024-04-08,3269.51,3281.44,3262.14,3274.07,2155108
2024-04-09,3256.08,3298.33,3231.11,3273.37,3693457
2024-04-10,3082.38,3158.08,3043.56,3119.26,549154
2024-04-11,3101.44,3121.01,3099.69,3119.26,3725300
2024-04-12,3037.44,3048.81,3026.88,3038.25,1120373
2024-04-15,3081.32,3086.66,3078.49,3083.83,4593836
2024-04-16,3197.78,3203.87,3182.05,3188.14,1840999
2024-04-17,3099.19,3115.42,3068.71,3084.95,3647354
2024-04-18,3151.73,3160.45,3150.8,3159.52,3498860
2024-04-19,3144.73,3189.87,3127.16,3172.3,1649407
2024-04-22,3100.31,3122.08,3071.7,3093.47,4272473
2024-04-23,3033.07,3033.73,3032.57,3033.23,1326313
2024-04-24,3019.87,3030.12,3013.92,3024.16,4551335
2024-04-25,3022.79,3029.0,2996.5,3002.71,2809385
2024-04-26,2876.71,2885.68,2860.66,2869.63,2599671
2024-04-29,2884.33,2902.55,2864.17,2882.39,1557104
2024-04-30,2955.22,2959.04,2948.75,2952.57,538370
2024-05-01,2992.54,2996.68,2974.53,2978.67,3648361
