Date,Open,High,Low,Close,Volume
2024-01-01,1569.52,1576.95,1561.59,1569.02,4983173
2024-01-02,1556.38,1561.69,1553.41,1558.72,3864713
2024-01-03,1541.22,1551.1,1534.98,1544.86,2221326
2024-01-04,1516.69,1542.61,1507.65,1533.57,3249860
2024-01-05,1557.31,1560.6,1548.61,1551.9,2926618
2024-01-08,1502.82,1519.79,1495.37,1512.34,3110089
2024-01-09,1527.12,1533.44,1520.31,1526.63,3665023
2024-01-10,1499.12,1508.67,1495.78,1505.33,2211720
2024-01-11,1516.51,1520.99,1515.04,1519.52,2770144
2024-01-12,1476.97,1477.88,1467.42,1468.33,3160150
2024-01-15,1433.54,1441.74,1421.46,1429.66,1130847
2024-01-16,1480.05,1488.53,1463.08,1471.56,1452131
2024-01-17,1429.8,1445.08,1412.11,1427.39,902462
2024-01-18,1439.46,1462.33,1413.69,1436.56,1391107
2024-01-19,1450.37,1464.65,1449.38,1463.67,2474864
2024-01-22,1443.93,1463.39,1426.8,1446.27,4719291
2024-01-23,1463.96,1479.08,1450.52,1465.64,4652981
2024-01-24,1403.49,1410.45,1387.82,1394.78,3932831
2024-01-25,1376.86,1381.48,1375.8,1380.42,3010006
2024-01-26,1419.1,1429.69,1406.59,1417.18,1411361
2024-01-29,1460.02,1469.79,1448.58,1458.34,2111990
2024-01-30,1481.98,1490.98,1464.27,1473.27,3948257
2024-01-31,1458.19,1460.87,1456.51,1459.19,4589177
2024-02-01,1450.52,1451.87,1443.08,1444.42,4831266
2024-02-02,1398.65,1412.74,1396.83,1410.92,2248844
2024-02-05,1419.57,1436.21,1414.73,1431.36,2689832
2024-02-06,1398.31,1417.22,1395.87,1414.79,2791159
2024-02-07,1468.8,1469.07,1462.66,1462.93,753119
2024-02-08,1522.98,1531.45,1509.29,1517.76,1024246
2024-02-09,1509.18,1519.48,1492.0,1502.3,703490
2024-02-12,1463.15,1479.45,1451.92,1468.22,3818304
2024-02-13,1426.74,1435.59,1422.0,1430.85,1509567
2024-02-14,1456.06,1459.47,1453.55,1456.96,3651363
2024-02-15,1467.25,1481.15,1442.61,1456.52,2188742
2024-02-16,1472.77,1473.24,1459.68,1460.15,4074097
2024-02-19,1429.39,1438.46,1414.55,1423.63,1019883
2024-02-20,1450.84,1463.11,1436.12,1448.39,1963360
2024-02-21,1475.66,1479.99,1461.34,1465.67,1421681
2024-02-22,1447.44,1454.37,1442.4,1449.33,2462239
2024-02-23,1449.21,1460.18,1441.14,1452.11,3028924
2024-02-26,1437.31,1445.26,1430.3,1438.25,1257537
2024-02-27,1485.0,1493.04,1484.42,1492.46,3501487
2024-02-28,1477.0,1482.5,1472.83,1478.32,4840271
2024-02-29,1489.71,1499.14,1488.83,1498.25,694789
2024-03-01,1511.56,1514.33,1500.92,1503.69,887348
2024-03-04,1489.81,1499.89,1475.61,1485.69,4784963
2024-03-05,1502.66,1506.88,1487.56,1491.78,3420559
2024-03-06,1500.91,1517.24,1497.15,1513.49,4638394
2024-03-07,1512.23,1514.9,1495.03,1497.7,3673658
2024-03-08,1462.71,1481.47,1455.79,1474.55,3727955
2024-03-11,1469.28,1483.37,1464.24,1478.32,1209814
2024-03-12,1504.67,1512.14,1501.99,1509.46,2803236
2024-03-13,1526.27,1531.24,1511.18,1516.15,2143954
2024-03-14,1528.2,1533.56,1521.08,1526.44,4251319
2024-03-15,1540.76,1554.45,1528.99,1542.68,694069
2024-03-18,1534.4,1540.9,1534.13,1540.63,581752
2024-03-19,1511.09,1523.04,1509.81,1521.77,3004737
2024-03-20,1495.25,1502.32,1479.59,1486.66,4866993
2024-03-21,1460.76,1464.4,1451.19,1454.83,4977221
2024-03-22,1459.97,1469.84,1440.08,1449.96,3170950
2024-03-25,1488.59,1492.33,1481.85,1485.58,2434482
2024-03-26,1482.11,1503.94,1480.53,1502.37,1728154
2024-03-27,1501.32,1520.22,1492.01,1510.91,4955036
2024-03-28,1447.36,1451.05,1440.25,1443.94,1324553
2024-03-29,1523.92,1537.95,1512.77,1526.8,1068014
2024-04-01,1512.45,1529.39,1499.84,1516.77,2787532
2024-04-02,1550.58,1567.49,1542.44,1559.35,2266044
2024-04-03,1507.71,1527.14,1481.03,1500.46,2731129
2024-04-04,1492.57,1495.61,1486.06,1489.1,4558842
2024-04-05,1437.82,1451.29,1420.68,1434.15,1714149
2024-04-08,1418.14,1425.13,1415.76,1422.74,4445129
2024-04-09,1404.34,1404.98,1402.43,1403.08,1452924
2024-04-10,1365.14,1379.87,1359.79,1374.52,1956162
2024-04-11,1349.79,1362.52,1337.97,1350.69,520038
2024-04-12,1357.71,1375.96,1357.2,1375.45,3553747
2024-04-15,1373.11,1384.64,1372.66,1384.18,4363074
2024-04-16,1435.02,1451.04,1421.36,1437.39,4487720
2024-04-17,1431.27,1440.19,1405.22,1414.14,1253570
2024-04-18,1400.78,1416.52,1398.03,1413.77,3950948
2024-04-19,1367.48,1382.73,1360.96,1376.21,1136013
2024-04-22,1386.41,1393.72,1377.57,1384.88,3328142
2024-04-23,1381.75,1389.63,1361.51,1369.39,3660792
2024-04-24,1401.77,1401.96,1400.13,1400.33,1186590
2024-04-25,1456.76,1460.88,1447.45,1451.56,997307
2024-04-26,1463.26,1469.66,1459.39,1465.79,828512
2024-04-29,1399.45,1407.14,1395.42,1403.1,3687623
2024-04-30,1443.66,1447.15,1439.57,1443.06,3265799
2024-05-01,1432.75,1446.86,1423.48,1437.58,1037068
2024-05-02,1422.94,1424.81,1415.83,1417.7,2751240
2024-05-03,1381.52,1395.49,1378.97,1392.94,4081126
2024-05-06,1380.75,1386.06,1369.19,1374.51,1571164
2024-05-07,1435.63,1436.77,1434.21,1435.34,3225366
2024-05-08,1444.27,1447.62,1442.5,1445.85,1817464
2024-05-09,1457.59,1474.09,1453.42,1469.92,1674560
2024-05-10,1464.06,1472.5,1462.98,1471.42,2264392
2024-05-13,1539.11,1555.96,1512.91,1529.76,2084964
2024-05-14,1556.89,1575.42,1540.03,1558.55,2729843
2024-05-15,1551.28,1559.61,1540.75,1549.08,1424331
2024-05-16,1548.55,1562.79,1541.29,1555.53,2256165
2024-05-17,1566.17,1574.87,1557.7,1566.4,3300723
2024-05-20,1555.82,1575.24,1547.37,1566.79,2242812
2024-05-21,1552.45,1555.61,1548.51,1551.66,3453800
2024-05-22,1576.3,1578.22,1571.4,1573.32,1020797
2024-05-23,1609.68,1626.06,1590.68,1607.06,1119474
2024-05-24,1546.96,1554.21,1546.88,1554.13,4395156
2024-05-27,1510.12,1518.21,1504.67,1512.76,2578210
2024-05-28,1501.45,1505.43,1493.37,1497.35,3241193
2024-05-29,1495.38,1501.49,1490.89,1497.0,3829080
2024-05-30,1567.16,1577.95,1558.68,1569.47,1157459
2024-05-31,1590.48,1597.31,1568.35,1575.18,4875181
2024-06-03,1583.93,1602.53,1573.05,1591.65,2407434
2024-06-04,1588.13,1592.87,1574.69,1579.42,4503700
2024-06-05,1575.9,1589.11,1572.04,1585.24,2375221
2024-06-06,1544.08,1552.63,1530.39,1538.94,2325075
2024-06-07,1559.0,1566.33,1546.07,1553.39,3202793
2024-06-10,1540.66,1548.05,1537.3,1544.68,1359036
2024-06-11,1577.48,1607.04,1557.79,1587.34,3239913
2024-06-12,1563.87,1581.63,1561.99,1579.75,4924903
2024-06-13,1561.23,1570.2,1557.17,1566.14,3403499
2024-06-14,1571.42,1577.74,1560.89,1567.21,815295
2024-06-17,1601.42,1613.75,1597.94,1610.27,3640563
2024-06-18,1555.93,1561.55,1549.55,1555.16,650305
2024-06-19,1550.2,1565.62,1546.55,1561.97,965093
2024-06-20,1580.31,1584.09,1578.41,1582.2,1780612
2024-06-21,1546.74,1567.64,1534.94,1555.84,1872149
2024-06-24,1512.0,1518.95,1505.66,1512.6,515974
2024-06-25,1512.08,1521.53,1506.52,1515.96,578065
2024-06-26,1544.43,1562.82,1535.48,1553.87,4051553
2024-06-27,1588.43,1605.84,1576.38,1593.79,2545886
2024-06-28,1610.11,1620.36,1607.58,1617.82,1399183
2024-07-01,1682.06,1695.17,1680.31,1693.42,2432435
2024-07-02,1721.21,1732.42,1700.55,1711.76,3618214
2024-07-03,1716.41,1728.7,1707.27,1719.57,3804471
2024-07-04,1710.61,1751.21,1689.45,1730.05,1796639
2024-07-05,1704.03,1710.11,1703.39,1709.47,1252026
2024-07-08,1685.47,1687.7,1675.41,1677.64,4817047
2024-07-09,1611.49,1628.51,1600.76,1617.78,3341725
2024-07-10,1681.14,1687.07,1662.46,1668.39,4923296
2024-07-11,1652.88,1661.14,1651.88,1660.14,1880123
2024-07-12,1638.31,1643.74,1628.68,1634.11,1000695
2024-07-15,1624.65,1634.04,1606.71,1616.1,2218624
2024-07-16,1617.2,1620.1,1610.6,1613.5,1975318
2024-07-17,1642.06,1655.38,1640.32,1653.65,3736790
2024-07-18,1693.82,1703.22,1692.62,1702.01,3722565
2024-07-19,1672.19,1677.99,1656.47,1662.27,821966
2024-07-22,1644.83,1661.63,1634.8,1651.61,3144845
2024-07-23,1608.85,1625.6,1584.14,1600.88,2042522
2024-07-24,1639.27,1652.18,1629.96,1642.88,3266988
2024-07-25,1644.74,1650.78,1637.51,1643.55,2260954
2024-07-26,1641.51,1677.48,1617.24,1653.2,2918401
2024-07-29,1627.36,1638.0,1621.79,1632.43,3720871
2024-07-30,1609.73,1632.38,1594.3,1616.95,1820250
2024-07-31,1652.75,1657.17,1646.43,1650.85,1396509
2024-08-01,1651.28,1662.34,1639.44,1650.49,3676971
2024-08-02,1665.78,1667.61,1660.03,1661.86,4763358
2024-08-05,1613.77,1624.75,1606.85,1617.82,2498023
2024-08-06,1611.37,1634.4,1596.03,1619.06,4989928
2024-08-07,1666.23,1669.29,1661.63,1664.68,1332015
2024-08-08,1663.12,1676.29,1658.74,1671.91,4185095
2024-08-09,1601.44,1614.29,1579.83,1592.68,4946924
2024-08-12,1575.33,1579.72,1571.86,1576.25,1848706
2024-08-13,1532.53,1544.3,1523.31,1535.08,1165351
2024-08-14,1581.21,1585.01,1573.7,1577.49,3487399
2024-08-15,1547.82,1560.72,1535.53,1548.43,4412273
2024-08-16,1514.65,1533.14,1509.08,1527.58,874166
2024-08-19,1536.88,1552.49,1529.64,1545.25,3383251
2024-08-20,1511.68,1513.73,1501.51,1503.56,4420756
2024-08-21,1449.06,1450.8,1446.7,1448.44,644064
2024-08-22,1425.82,1442.11,1421.88,1438.16,2821967
2024-08-23,1449.57,1462.19,1434.34,1446.97,846430
2024-08-26,1398.66,1407.51,1393.81,1402.66,1293976
2024-08-27,1370.82,1386.72,1361.06,1376.96,2688570
2024-08-28,1417.36,1428.46,1414.59,1425.69,1973374
2024-08-29,1399.25,1399.99,1391.42,1392.15,883112
2024-08-30,1382.44,1397.44,1381.44,1396.44,4103342
2024-09-02,1415.47,1437.63,1399.38,1421.54,1413331
2024-09-03,1464.9,1464.96,1463.93,1464.0,4416020
2024-09-04,1476.69,1484.86,1456.71,1464.89,1295342
2024-09-05,1454.2,1458.63,1445.68,1450.1,2838710
2024-09-06,1445.28,1453.47,1443.36,1451.54,3771658
2024-09-09,1421.98,1422.07,1410.88,1410.97,2661401
2024-09-10,1428.09,1443.71,1422.41,1438.03,2376940
2024-09-11,1438.75,1440.24,1435.31,1436.8,3878306
2024-09-12,1441.64,1448.16,1431.54,1438.06,553002
2024-09-13,1438.63,1451.03,1432.73,1445.13,4217853
2024-09-16,1478.33,1478.33,1473.08,1473.09,3604534
2024-09-17,1431.3,1440.25,1426.11,1435.06,3941810
2024-09-18,1421.22,1427.18,1410.24,1416.2,2394353
2024-09-19,1431.36,1453.0,1423.29,1444.93,2229926
2024-09-20,1456.46,1457.0,1453.43,1453.97,3073636
2024-09-23,1483.6,1487.98,1482.34,1486.72,3388665
2024-09-24,1484.34,1499.46,1460.56,1475.68,4663375
2024-09-25,1464.31,1467.43,1461.51,1464.63,4358119
2024-09-26,1410.47,1413.12,1398.88,1401.53,742511
2024-09-27,1441.06,1453.86,1424.54,1437.34,1182922
2024-09-30,1420.58,1425.62,1416.46,1421.5,4759776
2024-10-01,1464.73,1473.11,1450.48,1458.87,2246615
2024-10-02,1463.55,1472.54,1448.65,1457.64,3111276
2024-10-03,1443.41,1444.34,1439.01,1439.94,754784
2024-10-04,1461.68,1488.19,1452.46,1478.97,970842
2024-10-07,1486.63,1500.89,1479.86,1494.12,2339947
