Date,Open,High,Low,Close,Volume
2024-01-01,352.77,353.57,352.69,353.48,3631079
2024-01-02,355.72,356.85,353.41,354.55,2877606
2024-01-03,347.62,349.65,347.05,349.09,2027865
2024-01-04,347.02,348.49,346.01,347.48,3514198
2024-01-05,355.18,358.75,354.38,357.95,2907272
2024-01-08,363.53,363.68,362.48,362.64,2127187
2024-01-09,354.98,357.17,350.97,353.15,1948783
2024-01-10,343.46,346.38,339.23,342.16,1031701
2024-01-11,341.68,342.98,339.23,340.53,4590207
2024-01-12,339.88,340.93,337.66,338.7,3496136
2024-01-15,340.29,343.3,336.29,339.31,1794800
2024-01-16,342.81,345.61,339.13,341.94,3754180
2024-01-17,345.15,345.88,343.46,344.18,3622150
2024-01-18,348.54,352.9,345.15,349.5,1129522
2024-01-19,351.77,353.43,350.39,352.06,1287750
2024-01-22,349.36,350.29,348.32,349.26,1538840
2024-01-23,355.67,359.99,351.85,356.17,973631
2024-01-24,344.88,348.13,343.88,347.14,4203252
2024-01-25,342.83,344.64,342.78,344.59,1200355
2024-01-26,343.7,344.32,342.76,343.38,4151042
2024-01-29,349.12,349.45,347.48,347.81,2882548
2024-01-30,336.94,338.55,335.33,336.93,1025649
2024-01-31,337.1,337.69,332.67,333.26,4300434
2024-02-01,336.26,338.54,335.27,337.55,1280745
2024-02-02,340.12,340.62,339.0,339.5,4996758
2024-02-05,349.65,350.17,347.26,347.78,563233
2024-02-06,352.2,354.42,348.44,350.65,3302073
2024-02-07,351.45,351.58,350.36,350.49,1911533
2024-02-08,355.92,357.56,352.71,354.35,2901215
2024-02-09,357.34,358.7,355.89,357.26,4278551
2024-02-12,364.21,365.31,360.61,361.71,4040971
2024-02-13,371.06,371.51,368.64,369.09,1766435
2024-02-14,365.94,370.55,362.64,367.24,786848
2024-02-15,366.96,367.43,366.0,366.47,1776322
2024-02-16,371.29,374.38,370.6,373.69,4142287
2024-02-19,383.94,384.87,380.6,381.53,2819251
2024-02-20,392.08,394.99,388.81,391.72,3912707
