Date,Open,High,Low,Close,Volume
2024-01-01,1112.98,1116.81,1101.16,1104.99,3449963
2024-01-02,1098.22,1107.13,1078.71,1087.62,4649120
2024-01-03,1134.68,1146.77,1127.67,1139.77,589455
2024-01-04,1128.1,1130.02,1118.94,1120.87,2824861
2024-01-05,1142.41,1151.75,1129.4,1138.74,1137315
2024-01-08,1178.21,1179.36,1170.36,1171.52,2448143
2024-01-09,1205.71,1222.41,1189.66,1206.36,644773
2024-01-10,1211.18,1214.42,1209.27,1212.51,1132138
2024-01-11,1237.42,1239.28,1228.82,1230.68,2312776
2024-01-12,1195.09,1208.36,1175.18,1188.45,770241
2024-01-15,1227.28,1238.06,1205.34,1216.12,4087190
2024-01-16,1206.59,1218.16,1193.63,1205.19,3101005
2024-01-17,1248.01,1254.61,1242.19,1248.79,2526961
2024-01-18,1199.79,1223.13,1193.99,1217.33,2625713
2024-01-19,1213.37,1236.48,1201.81,1224.93,4275473
2024-01-22,1190.95,1197.88,1186.78,1193.71,4304486
2024-01-23,1195.27,1206.74,1191.56,1203.03,713881
2024-01-24,1194.65,1208.68,1174.95,1188.98,3583455
2024-01-25,1189.88,1206.43,1182.53,1199.08,2613752
2024-01-26,1175.31,1181.29,1172.8,1178.78,4023019
2024-01-29,1170.67,1183.19,1161.32,1173.84,4041839
2024-01-30,1182.02,1185.73,1170.03,1173.74,3687403
2024-01-31,1187.61,1195.07,1184.4,1191.86,3536249
2024-02-01,1222.74,1230.92,1211.33,1219.51,1453726
2024-02-02,1206.4,1210.42,1201.0,1205.02,4337714
2024-02-05,1178.21,1178.48,1171.73,1172.0,3653665
2024-02-06,1186.9,1188.11,1179.8,1181.02,1732256
2024-02-07,1268.16,1284.27,1252.29,1268.41,1547272
2024-02-08,1292.82,1307.47,1291.14,1305.79,2753828
2024-02-09,1239.51,1241.4,1239.3,1241.19,2042796
2024-02-12,1256.96,1261.14,1252.93,1257.11,3545953
2024-02-13,1279.61,1291.78,1265.29,1277.47,2329099
2024-02-14,1286.5,1293.48,1285.09,1292.08,1258204
2024-02-15,1309.37,1316.3,1293.75,1300.68,2277849
