Date,Open,High,Low,Close,Volume
2024-01-01,3038.96,3043.87,3034.18,3039.1,806299
2024-01-02,2978.69,3007.67,2965.34,2994.32,4681590
2024-01-03,3038.15,3054.22,3035.92,3051.99,2717682
2024-01-04,3091.13,3092.35,3089.59,3090.8,924536
2024-01-05,3037.34,3063.91,2999.59,3026.16,4671790
2024-01-08,2987.82,3026.66,2972.92,3011.76,4974211
2024-01-09,3014.49,3030.4,2994.84,3010.75,2504740
2024-01-10,2995.13,2996.74,2980.79,2982.39,3965408
2024-01-11,2972.9,2978.93,2968.51,2974.54,663341
2024-01-12,2960.46,2961.72,2953.37,2954.62,919719
2024-01-15,2949.33,2961.52,2944.61,2956.79,1744547
2024-01-16,2997.26,3000.2,2995.6,2998.54,3453033
2024-01-17,2974.42,3007.45,2958.8,2991.83,1100402
2024-01-18,3031.32,3062.06,3026.31,3057.05,653807
2024-01-19,3037.94,3050.25,3015.38,3027.69,3509468
2024-01-22,2972.22,2989.68,2965.32,2982.77,3965841
2024-01-23,2959.57,2965.06,2958.93,2964.42,3826457
2024-01-24,2901.68,2927.42,2890.46,2916.2,4096503
2024-01-25,2938.4,2958.18,2933.58,2953.35,4112830
2024-01-26,2947.79,2964.94,2932.48,2949.63,3210846
2024-01-29,2932.02,2940.54,2931.21,2939.72,2837360
2024-01-30,2918.27,2920.33,2912.25,2914.31,4355871
2024-01-31,2967.57,2979.43,2950.9,2962.76,2066120
2024-02-01,2942.62,2945.04,2936.81,2939.23,940474
2024-02-02,2941.87,2958.68,2922.55,2939.36,3883833
2024-02-05,2957.97,2967.61,2931.67,2941.31,1741657
2024-02-06,2957.77,2971.57,2955.35,2969.15,4904842
2024-02-07,2994.06,3008.84,2979.88,2994.65,2363798
2024-02-08,3029.19,3059.62,2986.49,3016.92,4333068
2024-02-09,3088.96,3095.44,3068.52,3075.0,691060
2024-02-12,3138.56,3170.92,3122.3,3154.66,3466538
2024-02-13,3131.11,3137.37,3128.37,3134.63,2516972
2024-02-14,3116.78,3118.46,3099.97,3101.65,2581709
2024-02-15,3057.93,3062.67,3047.62,3052.36,1693460
2024-02-16,3053.58,3054.25,3050.76,3051.44,4870371
2024-02-19,3074.09,3077.71,3072.87,3076.49,2267307
2024-02-20,3068.22,3076.96,3063.71,3072.45,4327159
2024-02-21,3053.14,3068.45,3034.68,3049.99,2412961
2024-02-22,3019.87,3039.37,3003.12,3022.61,717241
2024-02-23,3032.03,3039.61,3024.92,3032.49,4457352
2024-02-26,3080.23,3083.29,3076.3,3079.36,1332993
2024-02-27,3108.59,3122.85,3101.92,3116.18,1716534
2024-02-28,3095.7,3095.8,3089.71,3089.8,4374981
2024-02-29,3119.0,3127.81,3077.89,3086.7,4521844
2024-03-01,3083.99,3105.81,3081.98,3103.8,4625394
2024-03-04,3121.02,3128.36,3110.05,3117.39,2416869
2024-03-05,3113.28,3135.54,3099.53,3121.8,3906377
2024-03-06,3136.87,3154.62,3112.63,3130.38,1975134
2024-03-07,3163.53,3169.14,3157.38,3163.0,3831758
2024-03-08,3157.1,3168.11,3137.48,3148.49,2761304
2024-03-11,3178.35,3192.46,3150.87,3164.99,733816
2024-03-12,3162.41,3175.23,3147.4,3160.23,2379844
2024-03-13,3147.38,3154.3,3127.73,3134.64,2604768
2024-03-14,3123.54,3156.82,3116.77,3150.05,1658175
2024-03-15,3146.65,3152.49,3122.94,3128.78,2185113
2024-03-18,3118.19,3130.45,3101.72,3113.99,2762056
2024-03-19,3068.31,3076.0,3048.79,3056.48,723658
2024-03-20,3076.12,3104.7,3061.08,3089.66,1183107
2024-03-21,3044.36,3062.18,3035.65,3053.47,3950524
2024-03-22,3070.53,3084.9,3054.56,3068.92,2083684
2024-03-25,3023.28,3032.59,3014.16,3023.46,3237732
2024-03-26,3055.9,3072.21,3036.49,3052.8,3046055
2024-03-27,3048.54,3051.51,3033.76,3036.72,2980482
2024-03-28,3023.57,3055.45,3010.98,3042.86,2360337
2024-03-29,3085.97,3088.62,3072.56,3075.22,2674917
2024-04-01,3139.37,3140.52,3138.13,3139.28,4207605
2024-04-02,3100.48,3103.63,3099.6,3102.75,4842724
2024-04-03,3075.95,3104.87,3063.36,3092.28,1655247
2024-04-04,3169.23,3173.33,3159.41,3163.51,3512633
2024-04-05,3096.68,3127.7,3092.73,3123.76,4863972
2024-04-08,3059.27,3070.1,3041.33,3052.16,534129
2024-04-09,2988.11,3009.06,2983.25,3004.21,4031249
2024-04-10,2963.26,2963.29,2962.66,2962.69,2735694
2024-04-11,2996.62,3005.97,2988.55,2997.9,4854168
2024-04-12,3021.99,3024.54,3006.8,3009.35,3102203
2024-04-15,2998.7,3002.61,2996.71,3000.62,4271614
2024-04-16,2989.54,2999.92,2986.63,2997.01,1247065
2024-04-17,2987.41,3011.89,2968.37,2992.85,1139467
2024-04-18,3056.22,3057.3,3041.24,3042.32,4669609
2024-04-19,3025.95,3028.6,3017.49,3020.14,2869070
2024-04-22,3021.36,3048.34,2998.58,3025.55,3012541
2024-04-23,3011.39,3023.62,3001.71,3013.94,1264903
2024-04-24,3000.56,3020.39,2997.71,3017.54,1520286
