Date,Open,High,Low,Close,Volume
2024-01-01,1631.99,1638.18,1629.49,1635.67,3648153
2024-01-02,1619.14,1623.79,1615.87,1620.53,3997187
2024-01-03,1626.87,1638.54,1620.36,1632.04,1841326
2024-01-04,1645.46,1650.67,1638.27,1643.48,1024718
2024-01-05,1624.66,1632.38,1621.24,1628.96,1139937
2024-01-08,1614.16,1624.72,1604.66,1615.23,4283501
2024-01-09,1632.28,1637.36,1622.25,1627.32,2513942
2024-01-10,1624.09,1630.27,1622.0,1628.17,2881292
2024-01-11,1622.55,1624.22,1616.3,1617.97,4822788
2024-01-12,1620.66,1621.56,1614.99,1615.89,775082
2024-01-15,1630.94,1646.96,1608.77,1624.79,1426728
2024-01-16,1644.72,1650.07,1638.54,1643.89,4249602
2024-01-17,1647.32,1647.62,1628.07,1628.37,2930636
2024-01-18,1635.47,1637.56,1627.22,1629.31,622913
2024-01-19,1644.65,1646.11,1641.27,1642.73,3662990
2024-01-22,1613.03,1624.68,1606.47,1618.12,1122668
2024-01-23,1604.4,1606.82,1602.55,1604.96,4019649
2024-01-24,1601.29,1607.34,1587.08,1593.13,4090210
2024-01-25,1643.46,1645.37,1631.53,1633.43,4209833
2024-01-26,1657.06,1658.99,1646.38,1648.31,2591920
2024-01-29,1647.36,1648.28,1641.81,1642.73,1705207
2024-01-30,1622.98,1632.04,1621.27,1630.33,4466249
2024-01-31,1667.83,1681.23,1651.52,1664.92,3014450
2024-02-01,1667.56,1688.5,1654.08,1675.03,3359431
2024-02-02,1654.67,1665.87,1652.35,1663.55,1114337
2024-02-05,1659.21,1659.23,1657.76,1657.79,3305879
2024-02-06,1675.69,1680.38,1667.86,1672.55,3110418
2024-02-07,1692.36,1697.81,1681.44,1686.89,1815057
2024-02-08,1697.65,1702.6,1689.68,1694.63,3950841
2024-02-09,1706.17,1706.47,1702.63,1702.92,1101562
2024-02-12,1757.75,1765.7,1756.04,1763.99,3737210
2024-02-13,1769.71,1771.09,1769.0,1770.38,4825275
2024-02-14,1756.45,1766.67,1755.78,1766.0,3052654
2024-02-15,1756.97,1770.2,1756.48,1769.7,971589
2024-02-16,1783.92,1785.12,1777.99,1779.19,2989887
2024-02-19,1818.77,1825.36,1817.12,1823.7,2880547
2024-02-20,1834.41,1839.35,1823.73,1828.68,2984839
2024-02-21,1858.1,1866.28,1842.56,1850.74,1726558
2024-02-22,1815.13,1826.04,1808.27,1819.17,3317388
2024-02-23,1829.91,1841.37,1814.57,1826.04,1688632
2024-02-26,1844.0,1854.14,1838.25,1848.39,3010397
2024-02-27,1853.91,1867.96,1852.24,1866.28,3175637
2024-02-28,1877.2,1880.6,1872.96,1876.37,3406431
2024-02-29,1871.12,1883.91,1861.5,1874.29,4090703
2024-03-01,1886.11,1901.21,1874.01,1889.1,4471409
2024-03-04,1923.13,1927.3,1905.41,1909.59,3997307
2024-03-05,1928.95,1940.75,1927.78,1939.58,4081411
2024-03-06,1936.17,1942.1,1927.58,1933.51,4409607
2024-03-07,1961.42,1975.42,1954.44,1968.45,1591143
2024-03-08,1993.55,1997.45,1983.18,1987.07,1818062
2024-03-11,2005.03,2006.31,2001.59,2002.88,2898745
2024-03-12,2024.58,2045.33,2001.09,2021.83,2595881
2024-03-13,1984.11,1993.01,1981.95,1990.86,3659562
2024-03-14,1977.8,1994.69,1966.36,1983.25,542005
2024-03-15,1988.07,1996.65,1972.9,1981.48,1125423
2024-03-18,1980.31,1982.91,1965.2,1967.8,3860859
2024-03-19,1954.78,1961.71,1944.48,1951.41,4198848
2024-03-20,1967.63,1981.51,1960.12,1974.0,1860544
2024-03-21,1947.37,1957.83,1934.54,1945.0,1899225
2024-03-22,1988.75,2000.09,1960.23,1971.57,3026720
2024-03-25,1933.62,1935.01,1931.52,1932.91,2647029
2024-03-26,1939.03,1957.38,1910.55,1928.9,1261851
2024-03-27,1934.89,1942.42,1932.52,1940.05,2752070
2024-03-28,1946.36,1951.23,1941.79,1946.66,4187297
2024-03-29,1987.77,1989.46,1981.67,1983.36,3782947
2024-04-01,2002.64,2007.77,1994.65,1999.79,4177724
2024-04-02,1981.34,1992.87,1975.28,1986.81,3397189
2024-04-03,1977.39,1992.45,1968.09,1983.15,4448538
2024-04-04,1987.59,1988.1,1980.06,1980.56,1624195
2024-04-05,1975.21,1975.43,1966.57,1966.79,706716
2024-04-08,1961.14,1963.58,1948.11,1950.55,1013178
